Categoria,Rama,Anio,Demanda,Precio_gas_natural,Precio_combustoleo,PIB,Factores_eficiencia,Estudio
Textil,Textil,2014,39.3,5.3,16.9,13,,Gas natural 1.0
Textil,Textil,2015,41.8,5,17.4,14,,Gas natural 1.0
Textil,Textil,2016,42.9,5.3,17.2,15,,Gas natural 1.0
Textil,Textil,2017,43.9,5.8,17.1,15,,Gas natural 1.0
Textil,Textil,2018,45.2,6.4,16.8,16,,Gas natural 1.0
Textil,Textil,2019,46.1,6.6,16.6,16,,Gas natural 1.0
Textil,Textil,2020,46.9,6.7,16.4,17,,Gas natural 1.0
Textil,Textil,2021,47.7,6.7,16.6,17,,Gas natural 1.0
Textil,Textil,2022,48.4,6.7,17,18,,Gas natural 1.0
Textil,Textil,2023,48.9,6.8,17.3,18,,Gas natural 1.0
Textil,Textil,2024,49.2,7,17.6,19,,Gas natural 1.0
Textil,Textil,2025,49.5,7.2,17.8,19,,Gas natural 1.0
Textil,Textil,2026,49.8,7.3,18,20,,Gas natural 1.0
Textil,Textil,2027,50,7.4,17.9,20,,Gas natural 1.0
Textil,Textil,2028,50.1,7.6,17.9,21,,Gas natural 1.0
Textil,Textil,2029,50.2,7.7,17.9,21,,Gas natural 1.0
Textil,Textil,2030,50,7.7,17.9,22,,Gas natural 1.0
